Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019200353963,1,1,3,2,78,11,1,1,1,0,0,0,0,1,2
2019200354658,1,1,1,1,29,6,2,0,0,0,0,0,9,1,1
2019200400005,1,1,1,1,19,4,2,0,0,0,0,0,9,1,1
2019200400005,2,2,3,2,47,8,2,6,9,0,0,0,0,-1,-1
2019200400014,2,1,1,1,-1,-1,3,0,0,0,0,0,9,1,2
2019200400014,2,2,2,2,60,9,3,0,0,1,0,0,9,1,2
2019200400014,2,3,2,1,20,4,2,0,0,2,0,0,9,1,2
2019200400014,2,4,2,1,16,4,3,0,0,2,0,0,9,1,2
2019200400014,2,5,2,2,18,4,3,0,0,2,0,0,9,-1,-1
2019200808343,1,1,3,1,72,10,2,1,1,0,0,0,0,1,7
2019200808425,2,1,1,2,32,6,3,0,0,0,0,0,9,1,1
2019200809137,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,-1
2019200809297,1,1,3,1,4,1,2,3,3,0,0,0,0,-1,-1
2019200809303,2,1,2,2,56,9,3,0,0,0,3,0,11,1,4
2019200809322,1,1,3,1,81,11,2,1,3,0,0,0,0,-1,-1
2019200809474,2,1,1,1,55,8,3,0,0,0,0,0,9,1,3
2019200809478,2,1,1,2,30,6,2,0,0,0,0,0,1,1,3
2019200809554,1,1,3,1,15,3,2,1,1,0,0,0,0,-1,-1
2019200809657,2,1,1,1,35,6,3,0,0,0,0,0,9,1,2
2019200809976,2,1,1,2,51,8,3,0,0,0,0,0,9,1,5
2019200810027,2,1,1,2,26,6,3,0,0,0,0,0,9,1,2
2019200810465,1,1,1,2,42,7,3,0,0,0,0,0,9,1,1
2019200810465,1,2,2,1,49,8,3,0,0,1,0,0,9,1,1
2019200810465,1,3,2,2,19,4,3,0,0,2,0,0,9,1,1
2019200810465,1,4,2,2,20,4,3,0,0,2,0,0,9,1,1
2019200810609,3,1,1,1,-1,-1,3,0,0,0,0,0,9,1,4
2019200810742,1,1,3,2,79,11,2,5,1,0,0,0,0,1,1
2019200810774,1,1,3,1,71,10,1,5,1,0,0,0,0,1,1
2019200810987,1,1,1,2,24,5,2,0,0,0,0,0,9,1,8
2019200810987,2,2,1,1,26,6,3,0,0,0,0,0,9,1,7
2019200810987,2,3,2,1,33,6,3,0,0,2,0,0,9,1,1
2019200810987,2,4,2,2,48,8,2,0,0,2,0,0,9,1,1
2019200811566,2,1,1,1,75,10,2,0,0,0,0,0,9,1,5
2019200811566,2,2,2,2,74,10,3,0,0,1,0,0,9,1,5
2019200811619,1,1,1,1,43,7,2,0,0,0,0,0,9,1,4
2019200811619,2,2,1,1,26,6,2,0,0,0,0,0,9,-1,-1
2019200811701,1,1,3,1,15,3,2,1,3,0,0,0,0,1,8
2019200811901,1,1,3,2,16,4,3,5,1,0,0,0,0,1,2
2019200812270,2,1,1,1,27,6,3,0,0,0,0,0,9,1,3
2019200812284,1,1,3,1,11,3,3,5,1,0,0,0,0,1,5
2019200812343,1,1,1,2,20,4,3,0,0,0,0,0,9,1,1
2019200812822,1,1,2,2,25,5,3,0,0,2,0,0,9,1,1
2019200812822,1,2,2,2,60,9,3,0,0,2,0,0,9,1,1
2019200812857,2,1,1,1,64,9,3,0,0,0,0,0,8,-1,-1
2019200812909,1,1,1,1,30,6,2,0,0,0,0,0,9,1,5
2019200812971,1,1,3,2,25,5,3,5,1,0,0,0,0,1,2
2019200812982,1,1,1,1,27,6,3,0,0,0,0,0,1,1,2
2019200813003,2,1,1,2,27,6,3,0,0,0,0,0,9,1,3
2019200813049,2,1,1,1,35,6,3,0,0,0,0,0,9,1,3
2019200813121,2,1,1,1,21,5,3,0,0,0,0,0,9,-1,-1
2019200813121,2,2,2,1,-1,-1,3,0,0,2,0,0,9,1,1
2019200813121,2,3,2,1,-1,-1,3,0,0,1,0,0,9,1,1
2019200813128,1,1,3,1,16,4,3,1,3,0,0,0,0,-1,-1
2019200813144,2,1,1,1,56,9,3,0,0,0,0,0,9,1,7
2019200813157,2,1,1,1,18,4,3,0,0,0,0,0,1,-1,-1
2019200813171,2,1,1,1,34,6,3,0,0,0,0,0,1,1,2
