Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_LocationRestricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_CC,Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019200353963,1,9,0,18,0,1,0,0,0,0,1,1,6,1,82,11,1242,1,19,-1,-1,-1
2019200354658,1,9,0,18,0,2,2,10,3,11,1,1,6,1,29,6,1397,1,17,1,1,1
2019200354658,2,5,0,18,0,1,0,0,0,0,0,1,1,1,-1,-1,1170,1,2,-1,-1,-1
2019200400005,1,9,0,18,0,0,0,4,0,0,1,1,6,1,19,4,1390,1,9,1,1,1
2019200400005,2,9,0,2,0,0,0,0,0,0,3,1,6,1,-1,-1,1242,1,12,1,1,1
2019200400005,3,9,0,2,0,0,0,4,0,0,2,1,6,1,32,6,1968,2,13,1,1,1
2019200400005,4,9,0,2,0,0,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200400005,5,9,0,2,9,0,0,4,7,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200400014,1,21,0,11,0,0,0,0,0,0,1,1,6,1,-1,-1,11705,2,7,-1,-1,-1
2019200400014,2,9,0,18,0,0,0,7,0,0,2,1,6,1,-1,-1,1388,1,16,2,1,2
2019200808343,1,9,0,9,0,2,0,0,0,0,4,1,6,2,48,8,1598,1,7,1,1,1
2019200808425,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200808425,2,9,0,3,0,1,0,0,0,0,2,1,6,2,32,6,1364,1,11,1,1,1
2019200809137,1,9,0,18,0,6,0,0,0,0,0,1,6,1,43,7,1968,2,6,2,1,2
2019200809137,2,9,0,18,0,8,0,0,0,0,4,1,6,1,-1,-1,1896,2,11,-1,-1,-1
2019200809297,1,19,0,18,0,0,0,0,0,0,1,1,1,1,28,6,1560,2,2,1,1,1
2019200809303,1,9,0,18,2,0,0,0,0,0,0,1,2,1,41,7,1995,2,7,2,1,2
2019200809303,2,11,0,18,0,0,0,0,0,0,0,1,6,1,48,8,4500,2,4,5,1,5
2019200809322,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200809474,1,9,0,14,0,0,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200809474,2,9,0,3,0,0,0,0,0,0,1,1,6,1,55,8,1995,2,13,3,1,3
2019200809478,1,9,0,5,0,4,0,0,0,0,1,1,6,1,42,7,2362,1,5,2,1,2
2019200809478,2,1,0,18,0,8,0,0,0,0,4,1,6,2,30,6,-1,-1,-1,3,1,3
2019200809554,1,9,0,18,0,1,0,0,0,0,1,1,6,2,-1,-1,1364,1,12,1,1,1
2019200809657,1,9,0,1,0,0,0,0,0,0,2,1,6,3,-1,-1,2987,2,9,-1,-1,-1
2019200809657,2,9,0,3,0,0,0,0,0,0,1,1,6,1,35,6,1199,1,15,2,1,2
2019200809976,1,9,0,18,0,6,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200809976,2,9,0,18,0,8,0,0,0,0,4,1,2,2,51,8,1242,1,6,5,1,5
2019200810027,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019200810027,2,9,0,18,0,0,0,0,0,0,2,1,1,2,26,6,1896,2,15,2,1,2
2019200810465,1,9,0,8,0,1,0,0,0,0,2,1,6,2,42,7,1229,1,8,1,1,1
2019200810465,2,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019200810609,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,1997,2,8,-1,-1,-1
2019200810609,2,8,0,3,0,0,0,0,0,0,2,1,6,1,37,7,1797,8,8,1,1,1
2019200810609,3,9,0,3,0,0,0,0,0,0,2,1,5,1,-1,-1,1461,2,7,4,1,4
2019200810742,1,9,0,9,0,2,0,0,0,0,1,1,6,1,59,9,1399,2,13,2,1,2
2019200810774,1,9,0,18,0,1,0,0,0,0,1,1,6,1,30,6,973,1,17,1,1,1
2019200810987,1,9,0,18,9,4,0,0,0,0,3,1,6,2,24,5,1198,1,8,8,1,8
2019200810987,2,9,0,18,0,4,0,0,0,0,4,1,6,1,26,6,998,1,1,7,1,7
2019200811566,1,98,0,18,0,1,0,0,0,0,1,1,1,1,26,6,-1,-1,-1,10,1,10
2019200811566,2,9,0,18,0,1,0,0,0,0,2,1,6,1,75,10,1197,1,3,5,1,5
2019200811619,1,9,0,9,0,5,0,0,0,0,1,1,2,1,43,7,1896,2,11,4,1,4
2019200811619,2,9,0,18,0,8,0,0,0,0,4,1,6,1,26,6,1396,1,18,1,1,1
2019200811701,1,9,0,5,0,8,0,0,0,0,1,1,3,1,42,7,998,1,2,1,1,1
2019200811901,1,9,0,18,0,0,0,0,0,0,1,1,2,2,28,6,1368,1,3,5,1,5
2019200812270,1,9,0,18,0,1,0,0,0,0,3,1,6,1,24,5,1896,2,13,10,2,10
